Question,Answer
"Can you give me some information about ""Fall Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 16, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""LGBTQIA+ Faculty and Staff Alliance Monthly Meeting""?",The event is at Online.
"Is there a specific location to enter for the ""LGBTQIA+ Faculty and Staff Alliance Monthly Meeting""?","Yes, it is held at Online."
"When is the ""LGBTQIA+ Faculty and Staff Alliance Monthly Meeting""?","The event will be open on October 16, 2024 at Noon - 1 p.m.."
"Can you give me some information about ""LGBTQIA+ Faculty and Staff Alliance Monthly Meeting""?",A monthly virtual meeting for the LGBTQIA+ Faculty and Staff Alliance Employee Resource Group.
"Where can I see the ""Gender in Process""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""Gender in Process""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""Gender in Process""?","The event will be open on October 16, 2024 at 3:30 - 5 p.m. Weekly (to Dec 11)."
"Can you give me some information about ""Gender in Process""?","This is a supportive space for healing from internalized cissexism and transphobia, together."
"Where can I see the ""Master’s Student Support Group""?","The event is at Highmark Center for Health, Wellness and Athletics...."
"Is there a specific location to enter for the ""Master’s Student Support Group""?","Yes, it is held at Highmark Center for Health, Wellness and Athletics...."
"When is the ""Master’s Student Support Group""?","The event will be open on October 16, 2024 at 4 - 5 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""Master’s Student Support Group""?",The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 16, 2024 at 4:30 - 7:30 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Voter Registration Assistance""?","The event is at Nexus of Civic Engagement, Cohon University Center...."
"Is there a specific location to enter for the ""Voter Registration Assistance""?","Yes, it is held at Nexus of Civic Engagement, Cohon University Center...."
"When is the ""Voter Registration Assistance""?","The event will be open on October 16, 2024 at 6 - 9 p.m. Weekly (to Dec 5)."
"Can you give me some information about ""Voter Registration Assistance""?","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election."
"When is the ""Fall Break; No Classes""?","The event will be open on October 14 - 19, 2024 all day."
"Can you give me some information about ""Fall Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"Where can I see the ""Meaningful Play 2024""?",The event is at Tepper School of Business.
"Is there a specific location to enter for the ""Meaningful Play 2024""?","Yes, it is held at Tepper School of Business."
"When is the ""Meaningful Play 2024""?","The event will be open on October 16 - 18, 2024 all day."
"Can you give me some information about ""Meaningful Play 2024""?",The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""Scholars at Risk USA General Assembly""?",The event is at Cohon University Center.
"Is there a specific location to enter for the ""Scholars at Risk USA General Assembly""?","Yes, it is held at Cohon University Center."
"When is the ""Scholars at Risk USA General Assembly""?","The event will be open on October 16 - 17, 2024 all day."
"Can you give me some information about ""Scholars at Risk USA General Assembly""?","This conference will bring together scholars, leaders and advocates from SAR member universities and educational associations across the nation to discuss strategies for supporting scholars and promoting academic freedom locally, in the U.S., and around the world."
"When is the ""Sukkot""?","The event will be open on October 16 - 23, 2024 all day."
"Can you give me some information about ""Sukkot""?","  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""Scholars at Risk USA General Assembly""?",The event is at Cohon University Center.
"Is there a specific location to enter for the ""Scholars at Risk USA General Assembly""?","Yes, it is held at Cohon University Center."
"When is the ""Scholars at Risk USA General Assembly""?","The event will be open on October 16 - 17, 2024 at Midnight."
"Can you give me some information about ""Scholars at Risk USA General Assembly""?","This conference will bring together scholars, leaders and advocates from SAR member universities and educational associations across the nation to discuss strategies for supporting scholars and promoting academic freedom locally, in the U.S., and around the world."
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 17, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 17, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Reception: 17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Library, 5th Floor."
"Is there a specific location to enter for the ""Reception: 17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Library, 5th Floor."
"When is the ""Reception: 17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 17, 2024 at 6 - 8 p.m.."
"Can you give me some information about ""Reception: 17th International Exhibition of Botanical Art & Illustration""?","Join us for the reception of Hunt Institute for Botanical Documentation’s 17th International Exhibition of Botanical Art &amp; Illustration, which features 43 artworks by 43 artists, representing 19 countries. The exhibition runs through Dec. 17, 2024."
"Where can I see the ""Voter Registration Assistance""?","The event is at Nexus of Civic Engagement, Room 102, Cohon Univers...."
"Is there a specific location to enter for the ""Voter Registration Assistance""?","Yes, it is held at Nexus of Civic Engagement, Room 102, Cohon Univers...."
"When is the ""Voter Registration Assistance""?","The event will be open on October 17, 2024 at 6 - 9 p.m. Weekly (to Nov 6)."
"Can you give me some information about ""Voter Registration Assistance""?","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election."
"When is the ""Fall Break; No Classes""?","The event will be open on October 14 - 19, 2024 all day."
"Can you give me some information about ""Fall Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"Where can I see the ""Meaningful Play 2024""?",The event is at Tepper School of Business.
"Is there a specific location to enter for the ""Meaningful Play 2024""?","Yes, it is held at Tepper School of Business."
"When is the ""Meaningful Play 2024""?","The event will be open on October 16 - 18, 2024 all day."
"Can you give me some information about ""Meaningful Play 2024""?",The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Sukkot""?","The event will be open on October 16 - 23, 2024 all day."
"Can you give me some information about ""Sukkot""?","  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""Meaningful Play 2024""?",The event is at Tepper School of Business.
"Is there a specific location to enter for the ""Meaningful Play 2024""?","Yes, it is held at Tepper School of Business."
"When is the ""Meaningful Play 2024""?","The event will be open on October 16 - 18, 2024 at Midnight."
"Can you give me some information about ""Meaningful Play 2024""?",The CMU Center for Transformational Play is hosting Meaningful Play for the first time in 2024.
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 18, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 18, 2024 at Noon - 3 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Black Women’s Support Group""?","The event will be open on October 18, 2024 at 4 - 5:15 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""Black Women’s Support Group""?","A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists."
"When is the ""Fall Break; No Classes""?","The event will be open on October 14 - 19, 2024 all day."
"Can you give me some information about ""Fall Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Sukkot""?","The event will be open on October 16 - 23, 2024 all day."
"Can you give me some information about ""Sukkot""?","  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""(M. Swimming and Diving) Washington and Lee University""?","The event will be open on October 19, 2024 all day."
"Can you give me some information about ""(M. Swimming and Diving) Washington and Lee University""?","(M. Swimming and Diving) Washington and Lee University, 11:00 a.m."
"When is the ""(W. Swimming and Diving) Washington and Lee University""?","The event will be open on October 19, 2024 all day."
"Can you give me some information about ""(W. Swimming and Diving) Washington and Lee University""?","(W. Swimming and Diving) Washington and Lee University, 11:00 a.m."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Fall Break; No Classes""?","The event will be open on October 14 - 19, 2024 at Midnight."
"Can you give me some information about ""Fall Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 19, 2024 at 10 a.m. - 1 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""(Women’s Soccer) Emory vs. Carnegie Mellon""?","The event will be open on October 19, 2024 at 11 a.m. - 2 p.m.."
"Can you give me some information about ""(Women’s Soccer) Emory vs. Carnegie Mellon""?",(Women’s Soccer) #23 Emory vs. #4 Carnegie Mellon
"When is the ""(Men’s Soccer) Emory vs. Carnegie Mellon""?","The event will be open on October 19, 2024 at 1:30 - 4:30 p.m.."
"Can you give me some information about ""(Men’s Soccer) Emory vs. Carnegie Mellon""?",(Men’s Soccer) Emory vs. Carnegie Mellon
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Sukkot""?","The event will be open on October 16 - 23, 2024 all day."
"Can you give me some information about ""Sukkot""?","  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""Voter Registration Assistance""?","The event is at Nexus of Civic Engagement, Room 102, Cohon Univers...."
"Is there a specific location to enter for the ""Voter Registration Assistance""?","Yes, it is held at Nexus of Civic Engagement, Room 102, Cohon Univers...."
"When is the ""Voter Registration Assistance""?","The event will be open on October 20, 2024 at 4 - 7 p.m. Weekly (to Nov 6)."
"Can you give me some information about ""Voter Registration Assistance""?","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election"
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Sukkot""?","The event will be open on October 16 - 23, 2024 all day."
"Can you give me some information about ""Sukkot""?","  Sometimes called the Feast of Tabernacles, is a seven-day Jewish holiday of thanks for the fall harvest.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 21, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Conducting Scoping Reviews to Understand the Research Landscape""?",The event is at Online.
"Is there a specific location to enter for the ""Conducting Scoping Reviews to Understand the Research Landscape""?","Yes, it is held at Online."
"When is the ""Conducting Scoping Reviews to Understand the Research Landscape""?","The event will be open on October 21, 2024 at Noon - 1 p.m.."
