Question,Answer
"Which region is the event ""CLASS: Ankarsrum Basics with Ashley"" in?",Strip District.
"Where can I see the ""GET SCHOOLED ART EXHIBIT AND BENEFIT FOR FEED THE CHILDREN""?","2795 S Water Street, Pittsburgh."
"When is the ""GET SCHOOLED ART EXHIBIT AND BENEFIT FOR FEED THE CHILDREN""?","Thu., Oct. 17, 6-9 p.m.."
"Where is the venue for the event ""GET SCHOOLED ART EXHIBIT AND BENEFIT FOR FEED THE CHILDREN""?",Hyatt House.
"Which region is the event ""GET SCHOOLED ART EXHIBIT AND BENEFIT FOR FEED THE CHILDREN"" in?",South Side.
"Where can I see the ""Haunted Like Human @ Delanie's""?","1737 E. Carson St, Pittsburgh."
"When is the ""Haunted Like Human @ Delanie's""?","Thu., Oct. 17, 6:30-8:30 p.m.."
"Where is the venue for the event ""Haunted Like Human @ Delanie's""?",Delanie's Coffee.
"Which region is the event ""Haunted Like Human @ Delanie's"" in?",South Side.
"What category does the event ""Haunted Like Human @ Delanie's"" fall under?",Acoustic.
"Where can I see the ""Aberrant Kingdom Record Release Show""?","242 51st Street, Pittsburgh."
"When is the ""Aberrant Kingdom Record Release Show""?","Thu., Oct. 17, 7 p.m.-12 a.m.."
"Where is the venue for the event ""Aberrant Kingdom Record Release Show""?",Spirit Lodge.
"Which region is the event ""Aberrant Kingdom Record Release Show"" in?",Lawrenceville.
"Where can I see the ""Geek Out Gala""?","1 Allegheny Avenue, Pittsburgh."
"When is the ""Geek Out Gala""?","Thu., Oct. 17, 7-11 p.m.."
"Where is the venue for the event ""Geek Out Gala""?",Carnegie Science Center.
"Which region is the event ""Geek Out Gala"" in?",North Side.
"Where can I see the ""“Nosferatu”: The Horror Classic, with Live Musical Accompaniment by Tom Roberts""?","300 Beechwood Avenue, Carnegie."
"When is the ""“Nosferatu”: The Horror Classic, with Live Musical Accompaniment by Tom Roberts""?","Thu., Oct. 17, 7-9 p.m.."
"Where is the venue for the event ""“Nosferatu”: The Horror Classic, with Live Musical Accompaniment by Tom Roberts""?",Andrew Carnegie Free Library Music Hall.
"Which region is the event ""“Nosferatu”: The Horror Classic, with Live Musical Accompaniment by Tom Roberts"" in?",Carnegie.
"Where can I see the ""Beowulf:a 1 person storytelling epic""?","210 w 8th ave, Homestead."
"When is the ""Beowulf:a 1 person storytelling epic""?","Thu., Oct. 17, 7-9:30 p.m.."
"Where is the venue for the event ""Beowulf:a 1 person storytelling epic""?",The Glitterbox Theater.
"Which region is the event ""Beowulf:a 1 person storytelling epic"" in?",Homestead.
"Where can I see the ""Unsung Hero Tour - Pittsburgh, PA""?","1001 Fifth Ave., Pittsburgh."
"When is the ""Unsung Hero Tour - Pittsburgh, PA""?","Thu., Oct. 17, 7-11:59 p.m.."
"Where is the venue for the event ""Unsung Hero Tour - Pittsburgh, PA""?",PPG Paints Arena.
"Which region is the event ""Unsung Hero Tour - Pittsburgh, PA"" in?",Uptown.
"Where can I see the ""Fall Fest""?","350 Forbes Avenue, Pittsburgh."
"When is the ""Fall Fest""?","Thu., Oct. 17, 7:30 p.m., Fri., Oct. 18, 7:30 p.m., Sat., Oct. 19, 11 a.m.-7 p.m., Sun., Oct. 20, 11 a.m.-3 p.m., Thu., Oct. 24, 7:30 p.m., Fri., Oct. 25, 7:30 p.m., Sat., Oct. 26, 11 a.m.-7 p.m. and Sun., Oct. 27, 11 a.m.-3 p.m.."
"Where is the venue for the event ""Fall Fest""?",Pittsburgh Playhouse of Point Park University.
"Which region is the event ""Fall Fest"" in?",Downtown.
"Where can I see the ""Waltz Screening + Q&A""?","418 Walnut Street, Sewickley."
"When is the ""Waltz Screening + Q&A""?","Thu., Oct. 17, 7:30-10 p.m.."
"Where is the venue for the event ""Waltz Screening + Q&A""?",The Lindsay Theater and Cultural Center.
"Which region is the event ""Waltz Screening + Q&A"" in?",Sewickley.
"Where can I see the ""“Simply Queen” a World Class Act- Tribute to “Queen” Coming to The Palace Theatre October 17th!""?","21 W. Otterman St, Greensburg."
"When is the ""“Simply Queen” a World Class Act- Tribute to “Queen” Coming to The Palace Theatre October 17th!""?","Thu., Oct. 17, 7:30-9:30 p.m.."
"Where is the venue for the event ""“Simply Queen” a World Class Act- Tribute to “Queen” Coming to The Palace Theatre October 17th!""?",The Palace Theatre.
"Which region is the event ""“Simply Queen” a World Class Act- Tribute to “Queen” Coming to The Palace Theatre October 17th!"" in?",Greensburg.
"Where can I see the ""Simply Queen""?","21 W. Otterman St, Greensburg."
"When is the ""Simply Queen""?","Thu., Oct. 17, 7:30 p.m.."
"Where is the venue for the event ""Simply Queen""?",The Palace Theatre.
"Which region is the event ""Simply Queen"" in?",Greensburg.
"Where can I see the ""“Simply Queen” a World Class Act- Tribute to Queen Coming to The Palace Theatre October 17th!""?","21 W. Otterman St, Greensburg."
"When is the ""“Simply Queen” a World Class Act- Tribute to Queen Coming to The Palace Theatre October 17th!""?","Thu., Oct. 17, 7:30-9:30 p.m.."
"Where is the venue for the event ""“Simply Queen” a World Class Act- Tribute to Queen Coming to The Palace Theatre October 17th!""?",The Palace Theatre.
"Which region is the event ""“Simply Queen” a World Class Act- Tribute to Queen Coming to The Palace Theatre October 17th!"" in?",Greensburg.
"Where can I see the ""The Trees""?","350 Forbes Avenue, Pittsburgh."
"When is the ""The Trees""?","Thu., Oct. 17, 7:30 p.m., Fri., Oct. 18, 7:30 p.m., Sat., Oct. 19, 2 & 7:30 p.m. and Sun., Oct. 20, 2 p.m.."
"Where is the venue for the event ""The Trees""?",Pittsburgh Playhouse of Point Park University.
"Which region is the event ""The Trees"" in?",Downtown.
"Where can I see the ""Stymo The Band - Pittsburgh's Premier Cover Band""?","230 West Station Square Drive, Pittsburgh."
"When is the ""Stymo The Band - Pittsburgh's Premier Cover Band""?","Thu., Oct. 17, 8-11 p.m.."
"Where is the venue for the event ""Stymo The Band - Pittsburgh's Premier Cover Band""?",Hard Rock Cafe.
"Which region is the event ""Stymo The Band - Pittsburgh's Premier Cover Band"" in?",Station Square.
"Where can I see the ""Halloween: Season of the Sketch""?","943 Liberty Avenue, Pittsburgh."
"When is the ""Halloween: Season of the Sketch""?","Thu., Oct. 17, 8-9:30 p.m. and Fri., Oct. 18, 8-9:30 p.m.."
"Where is the venue for the event ""Halloween: Season of the Sketch""?",Arcade Comedy Theater.
"Which region is the event ""Halloween: Season of the Sketch"" in?",Downtown.
"Where can I see the ""Bathe Alone""?","400 Lincoln Ave, Millvale."
"When is the ""Bathe Alone""?","Thu., Oct. 17, 8 p.m.."
"Where is the venue for the event ""Bathe Alone""?",The Funhouse @ Mr. Smalls.
"Which region is the event ""Bathe Alone"" in?",Millvale.
"Where can I see the ""Books in the Afternoon""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Books in the Afternoon""?","Third Thursday of every month, 1 & 6 p.m.."
"Where is the venue for the event ""Books in the Afternoon""?","Carnegie Library, Oakland."
"Which region is the event ""Books in the Afternoon"" in?",Oakland.
"What category does the event ""Books in the Afternoon"" fall under?",Literary.
"Where can I see the ""Green Drinks: Sunrise Movement Pittsburgh""?","212 Oakland Ave., Pittsburgh."
"When is the ""Green Drinks: Sunrise Movement Pittsburgh""?","Third Thursday of every month, 6-8 p.m.."
"Where is the venue for the event ""Green Drinks: Sunrise Movement Pittsburgh""?",Fuel & Fuddle.
"Which region is the event ""Green Drinks: Sunrise Movement Pittsburgh"" in?",Oakland.
"What category does the event ""Green Drinks: Sunrise Movement Pittsburgh"" fall under?",Food & Drink Event.
"Where can I see the ""Reggae Night""?","507 Foreland St., Pittsburgh."
"When is the ""Reggae Night""?","Third Thursday of every month, 6:30-9:45 p.m.."
"Where is the venue for the event ""Reggae Night""?",Allegheny City Brewing.
"Which region is the event ""Reggae Night"" in?",North Side.
"Where can I see the ""Landmark Lectures: People & Place - Bishop Benjamin Tucker Tanner & Family""?","507 Foreland St., Pittsburgh."
"When is the ""Landmark Lectures: People & Place - Bishop Benjamin Tucker Tanner & Family""?","Third Thursday of every month, 6:30-7:30 p.m.."
"Where is the venue for the event ""Landmark Lectures: People & Place - Bishop Benjamin Tucker Tanner & Family""?",Allegheny City Brewing.
"Which region is the event ""Landmark Lectures: People & Place - Bishop Benjamin Tucker Tanner & Family"" in?",North Side.
"Where can I see the ""Real to Reel Documentary Film Series""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Real to Reel Documentary Film Series""?","Third Thursday of every month, 7 p.m.."
"Where is the venue for the event ""Real to Reel Documentary Film Series""?","Carnegie Library, Oakland."
"Which region is the event ""Real to Reel Documentary Film Series"" in?",Oakland.
"What category does the event ""Real to Reel Documentary Film Series"" fall under?",Other Stuff.
"Where can I see the ""Third Thursday Film Screenings""?","1300 Western Ave., Pittsburgh."
"When is the ""Third Thursday Film Screenings""?","Third Thursday of every month, 7 p.m.."
"Where is the venue for the event ""Third Thursday Film Screenings""?",PCTV.
"Which region is the event ""Third Thursday Film Screenings"" in?",North Side.
"What category does the event ""Third Thursday Film Screenings"" fall under?",Other Stuff.
"Where can I see the ""VIVRANT THING""?","4517 Butler St, Pittsburgh."
"When is the ""VIVRANT THING""?","Third Thursday of every month, 10 p.m.-2 a.m.."
"Where is the venue for the event ""VIVRANT THING""?",The Goldmark.
"Which region is the event ""VIVRANT THING"" in?",Lawrenceville.
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","5000 Forbes Ave., Pittsburgh."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","Mondays-Fridays, 9 a.m.-5 p.m. Continues through Dec. 17."
"Where is the venue for the event ""17th International Exhibition of Botanical Art & Illustration""?",Hunt Institute for Botanical Documentation.
"Which region is the event ""17th International Exhibition of Botanical Art & Illustration"" in?",Oakland.
"Where can I see the ""White Noise""?","6001 University Blvd, Wheatley Center, Moon Township."
"When is the ""White Noise""?","Mondays-Fridays, 10 a.m.-4:30 p.m. Continues through Nov. 5."
"Where is the venue for the event ""White Noise""?",Robert Morris University Media Arts Gallery.
"Which region is the event ""White Noise"" in?",Moon.
"Where can I see the ""芸[Gei]: The Beauty of Ephemeral and Eternal""?","5645 Butler Street, Pittsburgh."
"When is the ""芸[Gei]: The Beauty of Ephemeral and Eternal""?","Mondays-Saturdays, 10 a.m.-5 p.m. Continues through Jan. 18."
"Where is the venue for the event ""芸[Gei]: The Beauty of Ephemeral and Eternal""?",Contemporary Craft.
"Which region is the event ""芸[Gei]: The Beauty of Ephemeral and Eternal"" in?",Lawrenceville.
"Where can I see the ""Pretzels For Pups!""?","2705 S. Water Street, Pittsburgh."
"When is the ""Pretzels For Pups!""?","Through Oct. 31, 11 a.m.-11 p.m.."
"Where is the venue for the event ""Pretzels For Pups!""?",Hofbrauhaus Pittsburgh Brewery & Restaurant.
"Which region is the event ""Pretzels For Pups!"" in?",South Side.
"Where can I see the ""The Basement""?","118 Locust St, Etna."
"When is the ""The Basement""?",Thursdays-Sundays. Continues through Nov. 3.
"Where is the venue for the event ""The Basement""?",The Basement.
"Which region is the event ""The Basement"" in?",Etna.
"Where can I see the ""“THE NIGHTMARE BEFORE MIXTAPE” . . . A Burton Bar Experience  . . .""?","4907 Penn Avenue, Pittsburgh."
"When is the ""“THE NIGHTMARE BEFORE MIXTAPE” . . . A Burton Bar Experience  . . .""?","Wednesdays-Sundays, 5:30-9 p.m. Continues through Oct. 31."
"Where is the venue for the event ""“THE NIGHTMARE BEFORE MIXTAPE” . . . A Burton Bar Experience  . . .""?",Mixtape.
"Which region is the event ""“THE NIGHTMARE BEFORE MIXTAPE” . . . A Burton Bar Experience  . . ."" in?",Garfield.
"Where can I see the ""Miller Lite Thunder Thursdays Summer Music Series""?","1877 Shriner's Way, Cheswick."
"When is the ""Miller Lite Thunder Thursdays Summer Music Series""?","Thursdays, 6-9 p.m. Continues through Oct. 17."
"Where is the venue for the event ""Miller Lite Thunder Thursdays Summer Music Series""?",Pittsburgh Shrine Center.
"Which region is the event ""Miller Lite Thunder Thursdays Summer Music Series"" in?",Green Tree.
"Where can I see the ""An Evening with Edgar Allan Poe""?","1000 McNeilly Rd., Pittsburgh."
"When is the ""An Evening with Edgar Allan Poe""?","17th of every month, 6 p.m.."
"Where is the venue for the event ""An Evening with Edgar Allan Poe""?",Seton-La Salle High School.
"Which region is the event ""An Evening with Edgar Allan Poe"" in?",Mt. Lebanon.
"Where can I see the ""Zouk-Chata Night""?","4909 Penn Ave., Pittsburgh."
"When is the ""Zouk-Chata Night""?","Third Thursday of every month, 8:30 p.m.-1 a.m. Continues through Nov. 15."
"Where is the venue for the event ""Zouk-Chata Night""?",Los Sabrosos Dance Co..
"Which region is the event ""Zouk-Chata Night"" in?",Bloomfield.
"Where can I see the ""Walk-in Vaccine Hours""?","1101 Western Ave., Pittsburgh."
"When is the ""Walk-in Vaccine Hours""?","Tuesdays-Fridays, 8-10 a.m.."
"Where is the venue for the event ""Walk-in Vaccine Hours""?",Western Pennsylvania Humane Society.
"Which region is the event ""Walk-in Vaccine Hours"" in?",North Side.
"What category does the event ""Walk-in Vaccine Hours"" fall under?",Other Stuff.
"Where can I see the ""Museum of Illusions Pittsburgh’s Teacher Appreciation Week Sale""?","267 N Shore Dr, Pittsburgh, PA 15212, Pittsburgh."
"When is the ""Museum of Illusions Pittsburgh’s Teacher Appreciation Week Sale""?","Mondays-Sundays, 8-10 a.m.."
"Where is the venue for the event ""Museum of Illusions Pittsburgh’s Teacher Appreciation Week Sale""?",Museum Of Illusions.
"Which region is the event ""Museum of Illusions Pittsburgh’s Teacher Appreciation Week Sale"" in?",Allentown.
"What category does the event ""Museum of Illusions Pittsburgh’s Teacher Appreciation Week Sale"" fall under?",Fashion.
"Where can I see the ""Pittsburgh Scavenger Hunt: Pittsburgh’s Strength""?","414 Grant St, Pittsburgh, PA 15219, USA, Pittsburgh."
"When is the ""Pittsburgh Scavenger Hunt: Pittsburgh’s Strength""?","Ongoing, 8-10 a.m.."
"Where is the venue for the event ""Pittsburgh Scavenger Hunt: Pittsburgh’s Strength""?",Let's Roam Customer Support.
"Which region is the event ""Pittsburgh Scavenger Hunt: Pittsburgh’s Strength"" in?",Downtown.
"Where can I see the ""New Choices Career Development Classes""?","650 Smithfield Street, Suite 520, Pittsburgh."
"When is the ""New Choices Career Development Classes""?","Mondays-Fridays, 9:30 a.m.-12:30 p.m.."
"Where is the venue for the event ""New Choices Career Development Classes""?",Pennsylvania Women Work.
"Which region is the event ""New Choices Career Development Classes"" in?",Downtown.
"Where can I see the ""Thursday Adult Nature Walk""?","Pearce Mill Rd., Allison Park."
"When is the ""Thursday Adult Nature Walk""?","Thursdays, 10 a.m.-12 p.m.."
"Where is the venue for the event ""Thursday Adult Nature Walk""?",North Park.
"Which region is the event ""Thursday Adult Nature Walk"" in?",Allison Park.
"What category does the event ""Thursday Adult Nature Walk"" fall under?",Outside.
"Where can I see the ""Puzzling Adventures Scavenger Hunt""?","629 Smithfield St, Pittsburgh."
"When is the ""Puzzling Adventures Scavenger Hunt""?","Ongoing, 10 a.m.-8 p.m.."
"Where is the venue for the event ""Puzzling Adventures Scavenger Hunt""?",Puzzling Adventures Start & Finish Location.
"Which region is the event ""Puzzling Adventures Scavenger Hunt"" in?",Downtown.
"Where can I see the ""Lunch Break Yoga""?","422 Wood Street, PITTSBURGH."
"When is the ""Lunch Break Yoga""?","Tuesdays, Thursdays, 12-12:50 p.m.."
"Where is the venue for the event ""Lunch Break Yoga""?",Crossbody Dance and Movement.
"Which region is the event ""Lunch Break Yoga"" in?",Downtown.
"Where can I see the ""Spellbound Escape Room""?","116 E Pittsburgh Street, Lower Level, Greensburg."
"When is the ""Spellbound Escape Room""?","Ongoing, 12-9 p.m.."
"Where is the venue for the event ""Spellbound Escape Room""?",60 Minute Missions Escape Room.
"Which region is the event ""Spellbound Escape Room"" in?",Greensburg.
"Where can I see the ""A Soto Zen Buddhist Sitting Group""?","5700 Forbes Ave., Pittsburgh."
"When is the ""A Soto Zen Buddhist Sitting Group""?","Tuesdays, Thursdays."
"Where is the venue for the event ""A Soto Zen Buddhist Sitting Group""?",Church of the Redeemer.
"Which region is the event ""A Soto Zen Buddhist Sitting Group"" in?",Squirrel Hill.
"What category does the event ""A Soto Zen Buddhist Sitting Group"" fall under?",Other Stuff.
"Where can I see the ""Maude Movie Night""?","5700 Forbes Ave., Pittsburgh."
"When is the ""Maude Movie Night""?",Thursdays.
"Where is the venue for the event ""Maude Movie Night""?",Church of the Redeemer.
"Which region is the event ""Maude Movie Night"" in?",Squirrel Hill.
"Where can I see the ""International Women's Association of Pittsburgh""?","5401 Centre Ave, Pittsburgh."
"When is the ""International Women's Association of Pittsburgh""?",Thursdays.
"Where is the venue for the event ""International Women's Association of Pittsburgh""?",First United Methodist Church Pittsburgh.
"Which region is the event ""International Women's Association of Pittsburgh"" in?",Shadyside.
"What category does the event ""International Women's Association of Pittsburgh"" fall under?",Other Stuff.
"Where can I see the ""What They Say, What They Said""?","117 Sandusky Street, Pittsburgh."
"When is the ""What They Say, What They Said""?",Tuesdays-Sundays.
"Where is the venue for the event ""What They Say, What They Said""?",Andy Warhol Museum.
"Which region is the event ""What They Say, What They Said"" in?",North Side.
"What category does the event ""What They Say, What They Said"" fall under?",Visual Art.
"Where can I see the ""Population Impact""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Population Impact""?","Mondays, Wednesdays-Sundays."
"Where is the venue for the event ""Population Impact""?",Carnegie Museum of Natural History.
"Which region is the event ""Population Impact"" in?",Oakland.
"What category does the event ""Population Impact"" fall under?",Exhibits.
"Where can I see the ""Soldiers & Sailors Memorial Hall""?","4141 Fifth Ave., Pittsburgh."
"When is the ""Soldiers & Sailors Memorial Hall""?",Mondays-Saturdays.
"Where is the venue for the event ""Soldiers & Sailors Memorial Hall""?",Soldiers & Sailors Memorial Hall.
"Which region is the event ""Soldiers & Sailors Memorial Hall"" in?",Oakland.
"What category does the event ""Soldiers & Sailors Memorial Hall"" fall under?",Exhibits.
"Where can I see the ""Collectors""?","621-623 E. Eighth Ave., Homestead."
"When is the ""Collectors""?",Mondays-Fridays.
"Where is the venue for the event ""Collectors""?",Bost Building.
"Which region is the event ""Collectors"" in?",Homestead.
"What category does the event ""Collectors"" fall under?",Exhibits.
"Where can I see the ""Permanent collection""?","117 Sandusky Street, Pittsburgh."
"When is the ""Permanent collection""?",Mondays-Fridays.
"Where is the venue for the event ""Permanent collection""?",Andy Warhol Museum.
"Which region is the event ""Permanent collection"" in?",North Side.
"What category does the event ""Permanent collection"" fall under?",Visual Art.
"Where can I see the ""Permanent collection of European Art""?","7227 Reynolds Street, Pittsburgh."
"When is the ""Permanent collection of European Art""?",Tuesdays-Sundays.
"Where is the venue for the event ""Permanent collection of European Art""?",The Frick Pittsburgh.
"Which region is the event ""Permanent collection of European Art"" in?",Point Breeze.
"What category does the event ""Permanent collection of European Art"" fall under?",Visual Art.
"Where can I see the ""Dinosaurs in Their Time""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Dinosaurs in Their Time""?","Mondays, Wednesdays-Sundays."
"Where is the venue for the event ""Dinosaurs in Their Time""?",Carnegie Museum of Natural History.
"Which region is the event ""Dinosaurs in Their Time"" in?",Oakland.
"What category does the event ""Dinosaurs in Their Time"" fall under?",Exhibits.
"Where can I see the ""Dinosaurs in Their Time""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Dinosaurs in Their Time""?","Mondays, Wednesdays-Sundays."
"Where is the venue for the event ""Dinosaurs in Their Time""?",Carnegie Museum of Natural History.
"Which region is the event ""Dinosaurs in Their Time"" in?",Oakland.
"What category does the event ""Dinosaurs in Their Time"" fall under?",Exhibits.
"Where can I see the ""Twilight Wish Foundation""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Twilight Wish Foundation""?",Ongoing.
"Where is the venue for the event ""Twilight Wish Foundation""?",Carnegie Museum of Natural History.
"Which region is the event ""Twilight Wish Foundation"" in?",Oakland.
"What category does the event ""Twilight Wish Foundation"" fall under?",Volunteers.
"Where can I see the ""Pittsburgh Ski Club""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Pittsburgh Ski Club""?",Ongoing.
"Where is the venue for the event ""Pittsburgh Ski Club""?",Carnegie Museum of Natural History.
"Which region is the event ""Pittsburgh Ski Club"" in?",Oakland.
"What category does the event ""Pittsburgh Ski Club"" fall under?",Outside.
"Where can I see the ""Gateway Health Hospice""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Gateway Health Hospice""?",Ongoing.
"Where is the venue for the event ""Gateway Health Hospice""?",Carnegie Museum of Natural History.
"Which region is the event ""Gateway Health Hospice"" in?",Oakland.
"What category does the event ""Gateway Health Hospice"" fall under?",Volunteers.
"Where can I see the ""Southwinds, Inc.""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Southwinds, Inc.""?",Ongoing.
"Where is the venue for the event ""Southwinds, Inc.""?",Carnegie Museum of Natural History.
"Which region is the event ""Southwinds, Inc."" in?",Oakland.
"What category does the event ""Southwinds, Inc."" fall under?",Volunteers.
"Where can I see the ""Voices for Animals of Western PA""?","4400 Forbes Avenue, Pittsburgh."
"When is the ""Voices for Animals of Western PA""?",Ongoing.
"Where is the venue for the event ""Voices for Animals of Western PA""?",Carnegie Museum of Natural History.
"Which region is the event ""Voices for Animals of Western PA"" in?",Oakland.
"What category does the event ""Voices for Animals of Western PA"" fall under?",Volunteers.
"Where can I see the ""St. Anthony's Chapel""?","1700 Harpster Street, Pittsburgh."
"When is the ""St. Anthony's Chapel""?",Ongoing.
"Where is the venue for the event ""St. Anthony's Chapel""?",St. Anthony's Chapel.
"Which region is the event ""St. Anthony's Chapel"" in?",North Side.
"What category does the event ""St. Anthony's Chapel"" fall under?",Exhibits.
"Where can I see the ""Riding for the Handicapped""?","1700 Harpster Street, Pittsburgh."
"When is the ""Riding for the Handicapped""?",Ongoing.
"Where is the venue for the event ""Riding for the Handicapped""?",St. Anthony's Chapel.
"Which region is the event ""Riding for the Handicapped"" in?",North Side.
"What category does the event ""Riding for the Handicapped"" fall under?",Volunteers.
"Where can I see the ""Independent Film Night""?","208 S. Pennsylvania Ave., Greensburg."
"When is the ""Independent Film Night""?",Ongoing.
"Where is the venue for the event ""Independent Film Night""?",DV8 Espresso Bar & Gallery.
"Which region is the event ""Independent Film Night"" in?",Greensburg.
"What category does the event ""Independent Film Night"" fall under?",Submissions.
"Where can I see the ""National Aviary""?","Allegheny Commons West, Pittsburgh."
"When is the ""National Aviary""?",Ongoing.
"Where is the venue for the event ""National Aviary""?",National Aviary.
"Which region is the event ""National Aviary"" in?",North Side.
"What category does the event ""National Aviary"" fall under?",Exhibits.
"Where can I see the ""Pittsburgh History & Landmarks Foundation""?","Allegheny Commons West, Pittsburgh."
"When is the ""Pittsburgh History & Landmarks Foundation""?",Ongoing.
"Where is the venue for the event ""Pittsburgh History & Landmarks Foundation""?",National Aviary.
"Which region is the event ""Pittsburgh History & Landmarks Foundation"" in?",North Side.
"What category does the event ""Pittsburgh History & Landmarks Foundation"" fall under?",Volunteers.
"Where can I see the ""Venture Outdoors""?","Allegheny Commons West, Pittsburgh."
"When is the ""Venture Outdoors""?",Ongoing.
"Where is the venue for the event ""Venture Outdoors""?",National Aviary.
"Which region is the event ""Venture Outdoors"" in?",North Side.
"What category does the event ""Venture Outdoors"" fall under?",Outside.
"Where can I see the ""Goodwill Literacy Initiative""?","Allegheny Commons West, Pittsburgh."
"When is the ""Goodwill Literacy Initiative""?",Ongoing.
"Where is the venue for the event ""Goodwill Literacy Initiative""?",National Aviary.
"Which region is the event ""Goodwill Literacy Initiative"" in?",North Side.
"What category does the event ""Goodwill Literacy Initiative"" fall under?",Volunteers.
