Museum Name,Region,Type,Summary,Detail Information
Pittsburgh Glass Center,Garfield,Art,Hodge Gallery features contemporary glass,"Contents
Pittsburgh Glass Center
The Pittsburgh Glass Center is a gallery, glass studio, and public-access school dedicated to teaching, creating and promoting studio glass art.[1][2]  It is located on Penn Avenue in the Friendship neighborhood of Pittsburgh.  It has features works by Paul Joseph Stankard and classes taught by Dante Marioni, Davide Salvadore, and Cesare Toffolo.[3]
The origins of the Pittsburgh Glass Center date to 1991, when David Stephens, then visual-arts officer of the Pennsylvania Council on the Arts, approached glass artists Ron Desmett and Kathleen Mulcahy, then a professor at Carnegie Mellon University, about the idea of a center for studio glass.[3]  It was originally to have been the Elizabeth Glass Center in Elizabeth, Pennsylvania.[4]  However, by 1999, the plans had changed and the center was re-oriented to Pittsburgh.[4]  It was officially opened in 2001.[1]
The current facility in Friendship is LEED-certified.[5]  Its development has aided the growth of Garfield, especially with the adjacent Glass Lofts residential development.[5]
In fall 2010, the Pittsburgh Glass Center entered into talks with Pittsburgh Filmmakers/Pittsburgh Center for the Arts.[6]  By May 2011, the talks had failed, with the Pittsburgh Glass Center withdrawing from negotiations.[6]
In 2012, the Glass Center purchased residential housing adjacent to its main gallery space to be used as student and artist-in-residence housing.[7]
By 2012, the center had a $1 million budget, with 10 full-time employees.[5]
References"
Randyland,Central Northside,Art,Dedicated to the outsider art of Randy Gilson.,"Contents
Randyland
Randyland is an art museum in the North Side section of Pittsburgh, Pennsylvania. It is widely regarded as one of America's most colorful public art landmarks.[2][3] Randy Gilson is the founder of this museum, which showcases found object art.[4]
Randyland has played an important role in the cultural rejuvenation of Pittsburgh, with its neighbors City of Asylum and Mattress Factory.[5][6][7] Randyland has received international attention through viral listicles, and[8][9]  is among the most photographed places on Instagram.[10]
History
Randy Gilson was born in Homestead, Pennsylvania. Early in life he suffered from homelessness and poverty. He moved to Pittsburgh's Northside in 1982, where he was a community activist, planting over 800 street gardens and 50 vegetable gardens.[11]  His guerrilla gardening planted vacant lots in Manchester, the Mexican War Streets, and surrounding neighborhoods.[12]
He bought the property that would become Randyland on a credit card for $10,000 in 1995.[13] Using upcycling, Gilson decorates his home with items such as mannequins, plastic dinosaurs and pink flamingos. The fences display murals with neighbors dancing and smiling.[14]
In late 2016, Gilson's partner David Paul Francis ""Mac"" McDermott was diagnosed with terminal prostate cancer.[15] Upon hearing the news, Randyland fans raised over $20,000 and sent Gilson and McDermott on their first vacation. The couple visited the Grand Canyon and Hollywood.[16] Afterwards, Gilson retired from his restaurant job to spend more time with the ailing McDermott. Following the announcement, Foo Conner joined Randyland as co-director.[11][15][17]
The neighborhood around the museum experienced explosive growth in 2016-2019.[18] Randyland itself reportedly doubled in attendance.[19] The courtyard was overhauled to accommodate the traffic. Under Conner's curation, the facility embraced being a selfie museum as a vibrant backdrop for photos.[20]
McDermott died on January 10, 2019.[19] As Gilson's partner, he was posthumously given the title of co-founder. Journalists noted that McDermott may have downplayed his role when alive but was a backbone of the museum.[21] Later that year, Randyland received the Mayor's Award for Public Art for 2019. Conner left the museum early 2020.[20]
Because it is outdoors, Randyland was one of the only art museums open in Pennsylvania during the COVID-19 pandemic.[18] Gilson came out of retirement. The Courtyard was changed to a socially distanced playground throughout quarantine. Many of the original murals have been painted over.
As of 2022, Randyland is still a free and popular tourist attraction.[22][23]
Exhibits
In popular culture
Awards
References
External links"
Silver Eye Center for Photography,South Side Flats,Art,"website, hosts four photography exhibits each year","Silver Eye Center for Photography
Other reasons this message may be displayed:"
Society for Contemporary Craft,Strip District,Art,"Contemporary art in craft media by international, national and regional artists","Contents
Society for Contemporary Craft
Contemporary Craft (CC), which was previously known as the Society for Contemporary Craft, presents contemporary art in craft media such as ceramics, metals, fiber, glass, wood, and mixed media by international, national, and regional artists. In 2020, CC relocated from The Strip District to its permanent location on Butler Street in the Lawrenceville neighborhood in Pittsburgh, Pennsylvania, United States. The organization offers exhibitions focusing on multi-cultural diversity and social justice.,[1] artist-led, hands-on workshops, and a store featuring handcrafted art objects by artists from across the United States. CC is free admission and open to the public.
Between three and four exhibits are displayed annually in CC's main gallery and bring in approximately 35,000 visitors.[citation needed] Another 100,000 visit the Satellite Gallery at One Mellon Center that was opened in 1990. This second gallery is located in the Pittsburgh Steel Plaza T-station and allows those working downtown the opportunity to experience art.[2][3]
CC is nonprofit, aiming to bring arts to the community.[citation needed] It provides as much free access and programs as possible. In addition to the current exhibits and various studio workshops, CC reaches out into the community and focuses on at-risk youth, seniors in assisted living, and those living in homeless shelters.[4]
History
CC was founded in 1971 by Elizabeth Rockwell Raphael[5][6] in the belief that contemporary artists had new things to say with traditional materials, and that they needed wider opportunities to exhibit and sell their work.  Since then, CC has organized more than 230 exhibitions and has established a satellite gallery[7] and a permanent collection. CC also offers a range of studio classes, community outreach programs, and a retail store.
Elizabeth “Betty” Rockwell Raphael, who has been called one of the most groundbreaking women in the arts[2] was the first to transform the Pittsburgh arts scene. Before its foundation in 1971, Raphael opened a small art gallery in 1941 making the first modern art gallery Pittsburgh had ever seen. She introduced a new vision of art to the city and created what is now one of the only organizations in the country that focuses solely on craft media.[7]
In 2010, CC was named a ""Champion in Action"" in the community arts category by Citizens Bank and WPXI-TV, and received a $25,000 grant for “offering cutting-edge exhibitions focused on multicultural diversity and non-mainstream art, as well as a range of classes and community outreach programs,” said Ralph J, Papa, Chairman of Citizens Bank of Pennsylvania.[4]
In 2018, CC received the Award of Distinction from American Craft Council. This award recognizes an organization, institution, corporation, or individual who has made significant contributions to the field of craft with a minimum of 25 years of service.[8] CC was the first organization to receive this award in Pittsburgh, PA.[citation needed]
References
General references"
Soldiers and Sailors Memorial Hall and Museum,Oakland,Military,Largest memorial in the United States dedicated solely to honoring all branches of military veterans and service personnel,"Contents
Soldiers and Sailors Memorial Hall and Museum
40°26′42″N 79°57′23″W﻿ / ﻿40.445116°N 79.956442°W﻿ / 40.445116; -79.956442
The Soldiers and Sailors Memorial Hall and Museum (or often simply Soldiers and Sailors Memorial Hall) is a National Register of Historic Places landmark that is located in Pittsburgh, Pennsylvania, United States. It is the largest memorial in the United States that is dedicated solely to honoring all branches of military veterans and service personnel.
History and notable features
This historic building was conceived by the Grand Army of the Republic during the 1890s as a way for Pittsburgh and Allegheny County residents to honor the dwindling ranks of American Civil War veterans; it was built on what had served as a Union Army mustering ground during the war. The memorial now represents all branches of the service and honors career and citizen soldiers who have served the United States throughout its history.
Architect Henry Hornbostel designed this memorial in 1907. Dedicated in 1910, the building was created in the Beaux-Arts style and is heroic in scale. It is located in the Oakland section of Pittsburgh at 4141 Fifth Avenue (although the walkway leading to its main entrance is signed as ""Matthew Ridgway Blvd."" in honor of the World War II and Korean War hero who called Pittsburgh home). Situated adjacent to the University of Pittsburgh campus and its Cathedral of Learning, the building is set back from Fifth Avenue. It features expansive, well-kept lawns with large cannons and other war implements. The side streets flanking the building are Bigelow Boulevard and University Place, with O'Hara Street directly behind the memorial.
It houses rare and one-of-a-kind exhibits that span the eras from the American Civil War to present-day conflicts. Since 1963, it has been home to the ""Hall of Valor,"" an exhibit that honors individual veterans from the region who went above and beyond the call of duty. The hall currently pays tribute to more than six hundred honorees, including winners of the Medal of Honor, The Kearny Cross, the Distinguished Service Cross, the Navy Cross, the Air Force Cross, the Silver Star, and the Distinguished Flying Cross.
The building houses an auditorium that seats 2,500, a banquet hall, meeting rooms, and a museum. The expansive lawn of the memorial sits on top of an underground parking garage operated under a long-term lease by the University of Pittsburgh.
It has served as host for many city, civic, university, and business events, including an April 25, 1978, Gulf Oil Corporation shareholders meeting.[4]
Filming location
Famous visitors
Gallery
References
External links
Video"
Stephen Foster Memorial Museum,Oakland,Biographical,"Collection of composer Stephen Foster, also two music theaters","Contents
Stephen Foster Memorial
The Stephen Collins Foster Memorial is a performing arts center and museum which houses the Stephen Foster Archives at the University of Pittsburgh in Pittsburgh, Pennsylvania, USA. It is dedicated to the life and works of American songwriter Stephen Foster.
It is a contributing property to the Schenley Farms National Historic District,[4][5] is designated as a Pittsburgh History and Landmarks Foundation Historical Landmark,[3][6] and is a landmark whose significance is designated by a Pennsylvania Historical and Museum Commission Historical Marker.[7] It is located along Forbes Avenue in the Oakland neighborhood on the campus of the University of Pittsburgh, often referred to as Pitt.
The main structure houses the two theaters that serve as performance spaces for the university's Department of Theatre Arts: the 478-seat Charity Randall Theatre and 151-seat Henry Heymann Theatre. The left wing of the building houses the Stephen Foster Memorial Museum and the Center for American Music which contains the University of Pittsburgh's Stephen Foster Collection and archive that includes manuscripts, copies of over 200 of his musical compositions, examples of recordings, songsters, broadside, programs, books, various memorabilia, and several musical instruments, including one of Foster's pianos.[8] The memorial is also home to the university's Ethelbert Nevin Collection[9] and the Society for American Music.[10]
Building
The Stephen Foster Memorial, dedicated in 1937, is a steel-framed structure faced with the same Indiana Limestone used for the university's Cathedral of Learning.[11] It is one of two buildings, the other being Heinz Memorial Chapel, designed by its architect, Charles Klauder, to accompany his centerpiece Cathedral of Learning on the gothic revival portion of the university's campus. The W.F. Trimble & Son's Company was contracted to help erect the building on March 2, 1935.[8] It was constructed using 35,000 cubic feet (990 m3) of Indiana limestone, 400 tons (360,000 kg) of steel, and 2,500 cubic yards (1,900 m3) of concrete.[8] In 2003, a $3.2 million renovation of the Stephen Foster Memorial, focusing on its theater facilities, was completed by Colker and Tom Wiley of Pittsburgh's WTW Architects.[12]
The stone courtyard that is adjacent to the rear of the memorial, and sits between it and the south entrance to the Cathedral of Learning, is dedicated to memorial benefactor Josiah Kirby Lilly and is named in his honor.[12] On the grounds of the memorial, near the Foster Shrine pavilion, sits a sundial on a stone base, currently missing its gnomon,[13] that was dedicated May 1914 to the Pittsburgh Blues of the War of 1812 by the Dolly Madison Chapter, U.S. Daughters of 1812. The sun dial was rededicated there on May 9, 1941.[14]
The memorial building houses two theaters and, connected via a hallway, a memorial shrine dedicated to displaying items from the university's Foster Hall Collection. The Stephen Foster Memorial serves as the home for the Society for American Music and the University of Pittsburgh's Center for American's Music which encompasses a research library, archive and museum dedicated to expanding and documenting knowledge of American music and its role in American life.
Fred Kelly Lobby
The Fred Kelly Lobby, which serves as the lobby/foyer of the Charity Randall Theatre, is entered through the memorial's main Forbes Avenue-facing double red doors and contains two rectangular chandeliers by master metalworker Samuel Yellin of Philadelphia. The lobby also contains Charles Connick stained glass windows depicting Shakespeare (misspelled ""Shakespere"") and Beethoven that are dedicated to memorial benefactor Josiah Kirby Lilly.[11][15] The 2003 renovation of the memorial added new pieces of furniture to the lobby/foyer which including an octagonal upholstered banquette, a ticket and concession stand, as well as a new wrought iron ring wheel chandelier. These three additions were designed by Pittsburgh architect Michael Chirigos whose work was inspired by the memorial's Gothic arches. The banquette's seats enclose arched cabinets showcasing playbills for future productions along with college and career memorabilia associated with Gene Kelly's youngest brother, Fred. Both Kellys were Pitt graduates, and it was Fred who taught Gene and many others to dance. The display's cost was underwritten by Fred Kelly's family as an honor to his achievements as an influential choreographer who later became a pioneering television producer and director. The lobby also commemorates outstanding Pitt Theater alumni who are recipients of Department of Theatre Art's annual Fred Kelly Award.[15]
Charity Randall Theatre
The main 478-seat traditional proscenium theater, formerly known as the Foster Memorial Theatre,[16] was renamed as the Charity Randall Theatre following a $2 million renovation in 2003. The theater was reconditioned to bring it up to code, update its equipment, and replicate the original conditions of the auditorium's features. These renovations were undertaken with donations from the Charity Randall Foundation which was established in 1977 to remember the sister of Pitt graduate and businessman Robert Randall and to support her interest in the arts after her death in a car accident.[15] The plush, deep red seats, identical to those first installed New York's Radio City Music Hall, were reupholstered and their wrought iron frames and oak arms refinished to their original 1930s condition.[12] The number of seats were reduced from 572 to 478, including the addition of 24 new freestanding balcony seats. Other auditorium improvements include new carpeting and new lighting that highlights the vaulted stone ceiling, as well as a restoration of the original Samuel Yellin designed chandelier.[15] In addition, state-of-the-art sound, lighting, and production equipment was added, as well as a new rigging system, actors' restroom, and various stage improvements.[17]
Henry Heymann Theatre
The downstairs of the memorial houses the 153-seat Henry Heymann Theatre, featuring a thrust stage with seating on three sides. The theater honors the university's longtime scenic designer, and theater donor, Henry Heymann, who taught scenic design from 1968 until he retired in 1993.[16] The Heymann Theatre was created in 2000 in a space that formerly served as the memorial's social room, which hosted USO dances during World War II. A little-known tunnel also extends from the Heymann Theatre to under the loading dock level of the Cathedral of Learning, connecting the two buildings.[18] During the 2003 renovations to the memorial, the downstairs dressing room area was reconfigured to accommodate three ""star"" dressing rooms and men's and women's showers. Another basement room serves as headquarters for the still-active Tuesday Musical Club, which initiated the original idea and drive for the construction of the Stephen Foster Memorial.[15]
Foster Shrine
The left wing, composed of the pavilion of the Foster Shrine, is entered from the left of the building's foyer, which serves as the lobby of the Charity Randall Theatre, and through an entrance corridor that features Foster artifacts, a Foster bust, and five small casement windows featuring Connick stained glass windows devoted to symbols of Stephen Foster and his songs.[19] Moving along the corridor to the shrine, on the right is the entrance to the Foster Reading Room and library, which is home to much of the Foster collection, including its more fragile contents, that can be examined by appointment. Continuing on, the corridor opens into a 12-sided gothic chamber with lancet windows containing Connick stained glass medallions which illustrate various Foster songs.[15] On display in the Shrine in and around Gothic-arched alcoves are Foster's piano, sheet music, broadsides, recordings, and other personal items and memorabilia.[20] The 2003 renovation left the memorial shrine untouched, except for the addition of an unobtrusive fire suppression systems.[15]
History
The memorial itself was conceived in 1927 when the Tuesday Musical Club, founded in 1889 by affluent female musicians, and University of Pittsburgh Chancellor John Bowman agreed to collaborate on a performance hall dedicated to Stephen Foster that would house the club's recitals.[21] Bowman donated land adjacent to where the foundation for the Cathedral of Learning was being laid for the memorial. However, little progress on the memorial was made until 1932 when Bowman learned of Josiah Kirby Lilly's Foster Hall Collection. After Lilly pledged more than 10,000 Foster items, fund-raising began in earnest, with almost half the $550,000 cost coming from Lilly and his son, Eli.[15] Construction began January 13, 1935, the 71st anniversary of Foster's death. A dedication ceremony took place on June 2, 1937, Pitt's 150th anniversary.[11][15]
The Foster Hall Collection itself was established in 1930 by Josiah Kirby Lilly, noted for being the president of the prominent Indianapolis pharmaceutical manufacturer Eli Lilly and Company. The collection originally began as a retirement hobby based upon his lifelong love of Stephen Foster' s music, but it eventually grew into one of the major collections of American music and history. Lilly and his staff, with the help of some of Foster's relatives, as well as through contributions prompted by the publication of the Foster Hall Bulletin, accumulated over 10,000 Foster items. This initial collection was housed in Indianapolis in a small limestone building he called ""Foster Hall."" Before his effort began, there had been no exact knowledge concerning the total number of Foster's works, nor any accurate literature published about the composer. Foster Hall's staff identified 201 original works, and Foster Hall became a resource center for John Tasker Howard's biography Stephen Foster: America's Troubadour (1934). Concerned about the future of his collection, Lilly donated the Foster Hall's holdings to the University of Pittsburgh's new Stephen Foster Memorial and the collection was moved to its new home in 1937. Since then, some additional 20,000 items reflecting Foster, composers influenced by him, and music in American life have been added.[22]
The university's Center for American Music also houses the Ethelbert Nevin Collection, which was previously housed in the Theodore M. Finney Music Library until 1999. The Nevin Collection was acquired by the University of Pittsburgh between 1933 and 1956. The materials in the collection were either purchased or donated by Mrs. Ethelbert Nevin, other family members, and friends. The collection consists of original manuscripts, letters, mementos, furnishings, printed matter, and special gifts.[9]
Aside from maintaining the collections and museum, The Center for American Music's projects include Voices Across Time, a curriculum support package that allows teachers to integrate historic American Music into their classrooms. The center also has undertaken Resources of American History II that will provide global online access to music scores, papers, sound recordings, and other American music-related materials in its archives.[23]
See also
References
Bibliography
External links"
ToonSeum,Cultural District,Art,Cartoon art,"Contents
ToonSeum
The ToonSeum: Pittsburgh Museum of Cartoon Art was a museum devoted exclusively to the cartoon arts that was located in Pittsburgh, Pennsylvania.[1] At the time of its operation it was one of three museums dedicated to cartoon art in the United States.[2]
History
The ToonSeum moved to its own gallery space on Liberty Avenue in Pittsburgh's downtown Cultural District on November 8, 2009, aided by the Pittsburgh Cultural Trust.[1][2] It was led by Joe Wos.[3]
In 2009, the ToonSeum established its NEMO Award, given to notable individuals ""for excellence in the cartoon arts"". Recipients to date include veteran comic-book artist Ron Frenz,[4] editorial and comic-strip artist Dick Locher,[5] and comics artist, editorial cartoonist and artists' rights advocate Jerry Robinson.[6]
In May 2013, the ToonSeum hosted the two-day North American Conference of the National Cartoonists Society.[7] During that same month, plans for expansion of the museum were announced.[8]
On February 16, 2018, the leadership of the ToonSeum announced via the organization's Facebook page that it would close the physical location on Liberty avenue February 24, 2018 to focus on direct community outreach.[9]
See also
References
External links
40°26′37″N 79°59′47″W﻿ / ﻿40.44349°N 79.99647°W﻿ / 40.44349; -79.99647"
Trundle Manor,Swissvale,Art,"Oddity museum dedicated to steampunk, horror, and classic film items.","Contents
Trundle Manor
Trundle Manor is a macabre art museum and oddity tourist trap in Pittsburgh, Pennsylvania.[1] It was founded by artist couple and Anton and Rachel Miriello and houses their personal collection of cryptozoology, vintage taxidermy, and jarred specimens.[2][3]
When entertaining guests, Anton Miriello and Rachel Miriello go by Mr. Arm and Velda Von Minx respectively.[4] Visitors are asked to donate items to the collection for tour payment. Donations vary from booze, former pets now preserved in jars, to killing implements.[5][6]
History
The Miriellos acquired the victorian property which became Trundle Manor in 2007. Their fascination with Goth, Steampunk and classic horror films, led the couple to amass a private collection of oddities. The couple’s intrigue with the macabre began in their respective childhoods.[7][5] Mr. Arm recalls, ""I’ve been collecting since I was a little kid"".[4] They opened their collection, and house, to the public for tours in 2009. It attracts thousands a year as it has been prominently featured as place of interest in Pittsburgh.[8][9][10] Trundle Manor was featured on “MTV’s Extreme Cribs” in 2011.[2][6][11] Apart from giving tours, Trundle Manor also organizes and takes part in various events. It often hosts taxidermy classes, art, and comedy shows.[5][12]  They have taken their collection on the road as a traveling 'creep show'.[1][13]
Exhibits
Olivia's Singing Tumor
Olivia’s Singing Tumor is the centerpiece of their human reliquary. It features a large benign tumor encased in a glass jar with a musical contraption that makes it “sing.” The said tumor was donated by a belly dancer who gave it to the couple on the condition that it be put on display.[1][5][14]
References
External links"
University Arts Gallery,Oakland,Art,Part of the University of Pittsburgh,"Contents
Frick Fine Arts Building
The Henry Clay Frick Fine Arts Building is a landmark Renaissance villa and a contributing property to the Schenley Farms-Oakland Civic Historic District[2][3] on the campus of the University of Pittsburgh in Pittsburgh, Pennsylvania, United States. The Frick Fine Arts Building sits on the southern edge of Schenley Plaza, opposite The Carnegie Institute, and is the home of Pitt's History of Art and Architecture Department, Studio Arts Department, and the Frick Fine Arts Library. Before its front steps is Mary Schenley Memorial Fountain.
History
The Frick Fine Arts Building sits on the site of the former Schenley Park Casino, Pittsburgh's first multi-purpose arena with an indoor ice skating rink, sat on the location of the building before burning down in December 1896.[4]
The building itself is a gift of Helen Clay Frick (1888–1984), daughter of the Pittsburgh industrialist and art patron Henry Clay Frick (1849–1919). She established the Fine Arts Department at the University of Pittsburgh in 1926 and continued to fund it through the 1950s, when she first made a commitment to create a separate structure to house it.[5] Land for the project was donated to the university by the City of Pittsburgh.
In early negotiations with the University of Pittsburgh, Miss Frick asked that successors to the New York architects Carrère and Hastings design the new facility after the Italian palazzo its firm had built in Manhattan for her father some fifty years earlier. Eventually, however, both parties agreed to Burton Kenneth Johnstone Associates as the architects. Its design is modeled after Pope Julius III's (1487–1555) Villa Giulia in Rome, Italy. The building is constructed of white limestone and marble with a terracotta tile roof around a central courtyard. An octagonal cupola, which caps the central rotunda, rises 45 feet above the ground.[5] The building houses the University of Pittsburgh's Department of History of Art and Architecture and Department of Studio Arts, and contains classrooms, an open cloister, an art gallery, a 200-seat auditorium, as well as a research library. Construction began in 1962 and the building was opened in May 1965.
By the late 1960s Miss Frick, unhappy that the university did not conform to her restrictions on management of both the department and the new building, severed her ties with the University of Pittsburgh. She responded by creating a new venture, The Frick Art Museum, on the property of her ancestral home, Clayton, a few miles east in Pittsburgh's Point Breeze neighborhood. That museum operates today as a part of the Frick Art & Historical Center complex.
Building use and features
Today, the Frick Fine Arts Building consists of classrooms, art studios, a library, and art galleries around an open cloister and contains a 45 feet (14 m) high octagon capped by a pyramidal roof.[6]
A noted 1965 low relief portrait of Henry Clay Frick by Malvina Hoffman in limestone sits above the entrance to the building. Hoffman was 79 years old when she accepted the commission. She could not sculpt it herself because union rules prevented sculptors from working on a relief attached to a building. However, she climbed up on the scaffolding to oversee the completion of the work.[7][8] Inside the main entrance, a neon work by contemporary Chinese artist Gu Wenda is installed in the lobby.[9]
The building also contains a 200-seat auditorium that is used for lectures, performances, and special events.[10]
Nicholas Lochoff Cloister
The Nicholas Lochoff Cloister is a main feature of the Frick Fine Arts Building. Its large paintings of Italian masterpieces are scale reproductions that were commissioned in 1911 from Nicholas Lochoff by the Moscow Museum of Fine Arts (now the Pushkin Museum of Fine Arts). Lochoff worked slowly and carefully. Only a few paintings were completed and sent back to Russia by the Russian Revolution of 1917. Lochoff, unable to return because of new communist regime, felt compelled to sell off the paintings. Buyers included Harvard University and the Frick Art Reference Library in New York. Miss Frick acquired the entire collection, however, after Lochoff's death, with the help of art critic Bernard Berenson. In 2003, the paintings were cleaned and restored by Christine Daulton. Also in the gallery are noted Carrara marble reproductions of 14th century Annunciation figures by sculptor Alceo Dossena.[11]
Frick Fine Arts Library
Located in Frick Fine Arts Building, this two-story library houses a circulating research collection serving the Departments of the History of Art and Architecture and Studio Arts. The Collection contains over 90,000 volumes and subscribes to more than 350 journals in relevant fields and is ranked among the top 10 fine art libraries in the country.[12][13] The library's reading room is constructed of fruit wood paneling and cabinetwork with gold leaf trim designed by Italian craftsmen.  The library is further appointed by wrought iron balcony railings, terracotta tile flooring, maple tables with matching Windsor chairs, and ceiling-high windows furnishing views of Schenley Park.  An inscription on the wall facing the entrance indicates the libraries dedication to Henry Clay Frick.[5]
University Arts Gallery
The permanent collection contains a collection of prints and graphic works dating from the 16th through 20th centuries and regularly hosts changing exhibitions sponsored by the Department of the History of Art and Architecture and the Friends organization.  Some of the more prominent pieces in the permanent collection include a large collection of Jacques Callot and Gertrude Quastler prints;  16th-18th century drawings from the Clapp and Denny families; a collection of 19th and 20th century photography; the Gimbel collection of American art; and various Japanese prints, Asian ceramics, portraits, and Pittsburgh-related paintings by Hetzel, Gorson, and Kane.[5]
Popular culture
The Frick Fine Arts Building appeared in scenes set at the University of Pittsburgh on an episode of As the World Turns that aired on November 12, 2002.[14]
Gallery
References
External links
Art Gallery
Departments
Panorama
Video"
University of Pittsburgh Dental Museum,Oakland,Medical,Historic dental artifacts and equipment,"Contents
Salk Hall
Jonas Salk Hall at the University of Pittsburgh is a Pennsylvania state[2] and Pittsburgh History and Landmarks Foundation Historic Landmark.[3] The Art Deco building is named after Jonas Salk, who conducted his research on the first polio vaccine in a basement laboratory while on the faculty at the University of Pittsburgh.[4]
History
The main structure of Salk Hall is the former city owned Pittsburgh Municipal Hospital for Contagious Diseases constructed in 1941 on land the university had given to the city.  It was designed by Richard Irving and Theodore Eicholz.[5] The hospital was built as a project by President Roosevelt's Public Works Administration.[6] The 225-bed hospital was originally part of the Medical Center associated with the University and was intended to be used primarily to treat communicable diseases. However, when antibiotics virtually eliminated the need to quarantine patients, the building had become a financial burden on the city.  Therefore, in September 1949, work began on remodeling the building, and it temporarily housed Pitt's School of Public Health.[7] In October 1957, the Municipal Hospital was formally acquired from the city for $1.3 million ($14.1 million today) and renamed Jonas Salk Hall.  For a time, the upper floors of the building served as a residence for students.  Pitt remodeled it to house the School of Dental Medicine and School of Pharmacy in 1961-1962.[8]
Annex
The Salk Hall Annex, a major renovation and three-story addition designed by the architectural firm Deeter, Ritchey, and Sippel[9] for the Dental School, was completed the Terrace Street side of the building in 1967[10] for a cost of over $5 million ($48.3 million today).[11]  Today, it serves as a main entrance for Salk Hall and the dental clinics.
A new $50.6 million ($71 million today) addition and renovation to Salk Hall was announced in January 2010.[12] It will include the construction of an 80,000-square-foot (7,400 m2) research tower in the parking area behind the existing building by Ballinger Architects with associates DRS Architects. The new tower is planned to house laboratories and support spaces relocated from their current home in Salk Hall in order to free up space for additional classrooms and offices in the original structure.[13] The target completion date is July, 2014.
Dental Museum
A dental museum is housed in the first floor reception area of Salk Hall. The museum contains a variety of original dental artifacts, including a c. 1910 dental chair, and x-ray machine and instrument cabinet from the 1920s.[14]
Pharmacy Museum
Also contained in Salk Hall is the Elmer H. Grimm Sr. Pharmacy Museum,[15] which opened in the fall of 1996.  Located on the fourth floor, the museum holds pharmacy memorabilia such as drug products, equipment, and sundry products dating back to the early 20th century.  Among the museum's possessions are two hand-carved finials, which were often found over the door or partitions that separated the main part of the pharmacy from the back room where pharmacists did most of their work, an old-fashioned powder mill, and a konseal machine.[16][17]
References
External links"
